Zip Code,Zip Code Type,Zip Code Name,County
63453,Non-Unique,Luray,Clark
63454,Non-Unique,Maywood,Marion
63456,Non-Unique,Monroe City,Ralls
63457,Non-Unique,Monticello,Lewis
63458,Non-Unique,Newark,Knox
63459,Non-Unique,New London,Ralls
63460,Non-Unique,Novelty,Knox
63461,Non-Unique,Palmyra,Marion
63462,Non-Unique,Perry,Ralls
63463,Non-Unique,Philadelphia,Marion
63464,Non-Unique,Plevna,Knox
63465,Non-Unique,Revere,Clark
63466,Non-Unique,Saint Patrick,Clark
63467,PO Box,Saverton,Ralls
63468,Non-Unique,Shelbina,Shelby
63469,Non-Unique,Shelbyville,Shelby
63471,Non-Unique,Taylor,Marion
63472,Non-Unique,Wayland,Clark
63473,Non-Unique,Williamstown,Lewis
63474,Non-Unique,Wyaconda,Clark
63501,Non-Unique,Kirksville,Adair
63530,Non-Unique,Atlanta,Macon
63531,Non-Unique,Baring,Knox
63532,Non-Unique,Bevier,Macon
63533,Non-Unique,Brashear,Adair
63534,Non-Unique,Callao,Macon
63535,Non-Unique,Coatsville,Schuyler
63536,Non-Unique,Downing,Schuyler
63537,Non-Unique,Edina,Knox
63538,Non-Unique,Elmer,Macon
63539,Non-Unique,Ethel,Macon
63540,Non-Unique,Gibbs,Adair
63541,Non-Unique,Glenwood,Schuyler
63543,Non-Unique,Gorin,Scotland
63544,Non-Unique,Green Castle,Sullivan
63545,Non-Unique,Green City,Sullivan
63546,Non-Unique,Greentop,Adair
63547,Non-Unique,Hurdland,Knox
63548,Non-Unique,Lancaster,Schuyler
63549,Non-Unique,La Plata,Macon
63551,Non-Unique,Livonia,Putnam
63552,Non-Unique,Macon,Macon
63555,Non-Unique,Memphis,Scotland
63556,Non-Unique,Milan,Sullivan
63557,Non-Unique,New Boston,Linn
63558,Non-Unique,New Cambria,Macon
63559,Non-Unique,Novinger,Adair
63560,Non-Unique,Pollock,Sullivan
63561,Non-Unique,Queen City,Schuyler
63563,Non-Unique,Rutledge,Scotland
63565,Non-Unique,Unionville,Putnam
63566,Non-Unique,Winigan,Linn
63567,Non-Unique,Worthington,Putnam
63601,Non-Unique,Park Hills,Saint Francois
63620,Non-Unique,Annapolis,Iron
63621,Non-Unique,Arcadia,Iron
63622,Non-Unique,Belgrade,Washington
63623,Non-Unique,Belleview,Iron
63624,Non-Unique,Bismarck,Saint Francois
63625,Non-Unique,Black,Reynolds
63626,Non-Unique,Blackwell,Washington
63627,Non-Unique,Bloomsdale,Ste Genevieve
63628,Non-Unique,Bonne Terre,Saint Francois
63629,Non-Unique,Bunker,Reynolds
63630,Non-Unique,Cadet,Washington
63631,Non-Unique,Caledonia,Washington
63632,PO Box,Cascade,Wayne
