County,State,Date,Total Labor,Employed,Unemployed,Rate
Cowley County,KS,Jan-20,16109,15536,573,3.6
Crawford County,KS,Jan-20,18582,17800,782,4.2
Decatur County,KS,Jan-20,1178,1139,39,3.3
Dickinson County,KS,Jan-20,8759,8367,392,4.5
Doniphan County,KS,Jan-20,4118,3963,155,3.8
Douglas County,KS,Jan-20,65869,63756,2113,3.2
Edwards County,KS,Jan-20,1362,1327,35,2.6
Elk County,KS,Jan-20,1154,1117,37,3.2
Ellis County,KS,Jan-20,16918,16530,388,2.3
Ellsworth County,KS,Jan-20,2696,2622,74,2.7
Finney County,KS,Jan-20,20753,20292,461,2.2
Ford County,KS,Jan-20,16858,16431,427,2.5
Franklin County,KS,Jan-20,14167,13644,523,3.7
Geary County,KS,Jan-20,11275,10741,534,4.7
Gove County,KS,Jan-20,1470,1435,35,2.4
Graham County,KS,Jan-20,1080,1046,34,3.1
Grant County,KS,Jan-20,3099,3020,79,2.5
Gray County,KS,Jan-20,3121,3049,72,2.3
Greeley County,KS,Jan-20,767,752,15,2
Greenwood County,KS,Jan-20,3285,3162,123,3.7
Hamilton County,KS,Jan-20,1608,1578,30,1.9
Harper County,KS,Jan-20,2987,2905,82,2.7
Harvey County,KS,Jan-20,17082,16541,541,3.2
Haskell County,KS,Jan-20,2146,2101,45,2.1
Hodgeman County,KS,Jan-20,974,942,32,3.3
Jackson County,KS,Jan-20,7201,6937,264,3.7
Jefferson County,KS,Jan-20,10126,9746,380,3.8
Jewell County,KS,Jan-20,1247,1213,34,2.7
Johnson County,KS,Jan-20,341859,332373,9486,2.8
Kearny County,KS,Jan-20,1994,1949,45,2.3
Kingman County,KS,Jan-20,3424,3305,119,3.5
Kiowa County,KS,Jan-20,1268,1238,30,2.4
Labette County,KS,Jan-20,9861,9461,400,4.1
Lane County,KS,Jan-20,733,715,18,2.5
Leavenworth County,KS,Jan-20,36973,35543,1430,3.9
Lincoln County,KS,Jan-20,1726,1677,49,2.8
Linn County,KS,Jan-20,4491,4190,301,6.7
Logan County,KS,Jan-20,1596,1562,34,2.1
Lyon County,KS,Jan-20,16610,15997,613,3.7
McPherson County,KS,Jan-20,17054,16642,412,2.4
Marion County,KS,Jan-20,5871,5705,166,2.8
Marshall County,KS,Jan-20,5434,5274,160,2.9
Meade County,KS,Jan-20,2049,2000,49,2.4
Miami County,KS,Jan-20,17755,17042,713,4
Mitchell County,KS,Jan-20,3252,3178,74,2.3
Montgomery County,KS,Jan-20,14537,13814,723,5
Morris County,KS,Jan-20,3020,2917,103,3.4
Morton County,KS,Jan-20,1103,1071,32,2.9
Nemaha County,KS,Jan-20,5254,5103,151,2.9
Neosho County,KS,Jan-20,6153,5864,289,4.7
Ness County,KS,Jan-20,1312,1277,35,2.7
Norton County,KS,Jan-20,2641,2587,54,2
Osage County,KS,Jan-20,7984,7646,338,4.2
Osborne County,KS,Jan-20,2051,2009,42,2
Ottawa County,KS,Jan-20,2975,2888,87,2.9
Pawnee County,KS,Jan-20,2820,2721,99,3.5
Phillips County,KS,Jan-20,2593,2524,69,2.7
Pottawatomie County,KS,Jan-20,12306,11913,393,3.2
Pratt County,KS,Jan-20,4878,4738,140,2.9
Rawlins County,KS,Jan-20,1462,1428,34,2.3
Reno County,KS,Jan-20,29380,28383,997,3.4
Republic County,KS,Jan-20,2169,2110,59,2.7
Rice County,KS,Jan-20,5160,5017,143,2.8
Riley County,KS,Jan-20,34731,33723,1008,2.9
Rooks County,KS,Jan-20,2464,2382,82,3.3
Rush County,KS,Jan-20,1604,1554,50,3.1
Russell County,KS,Jan-20,3214,3115,99,3.1
Saline County,KS,Jan-20,30169,29122,1047,3.5
Scott County,KS,Jan-20,2783,2728,55,2
Sedgwick County,KS,Jan-20,253382,243656,9726,3.8
Seward County,KS,Jan-20,9184,8887,297,3.2
Shawnee County,KS,Jan-20,90603,87289,3314,3.7
Sheridan County,KS,Jan-20,1374,1337,37,2.7
Sherman County,KS,Jan-20,2731,2654,77,2.8
Smith County,KS,Jan-20,1939,1887,52,2.7
Stafford County,KS,Jan-20,2012,1948,64,3.2
Stanton County,KS,Jan-20,959,929,30,3.1
Stevens County,KS,Jan-20,2451,2379,72,2.9
Sumner County,KS,Jan-20,10923,10552,371,3.4
Thomas County,KS,Jan-20,4225,4128,97,2.3
Trego County,KS,Jan-20,1411,1364,47,3.3
Wabaunsee County,KS,Jan-20,3646,3501,145,4
Wallace County,KS,Jan-20,775,753,22,2.8
Washington County,KS,Jan-20,2876,2797,79,2.7
Wichita County,KS,Jan-20,1173,1144,29,2.5
Wilson County,KS,Jan-20,3945,3770,175,4.4
Woodson County,KS,Jan-20,1545,1479,66,4.3
Wyandotte County,KS,Jan-20,78141,74623,3518,4.5
Adair County,MO,Jan-20,10240,9794,446,4.4
Andrew County,MO,Jan-20,9798,9452,346,3.5
Atchison County,MO,Jan-20,2710,2610,100,3.7
Audrain County,MO,Jan-20,10759,10308,451,4.2
Barry County,MO,Jan-20,15864,15056,808,5.1
Barton County,MO,Jan-20,5335,5126,209,3.9
Bates County,MO,Jan-20,7990,7605,385,4.8
Benton County,MO,Jan-20,7253,6818,435,6
Bollinger County,MO,Jan-20,5592,5318,274,4.9
Boone County,MO,Jan-20,97338,94248,3090,3.2
Buchanan County,MO,Jan-20,44618,42874,1744,3.9
Butler County,MO,Jan-20,18095,17170,925,5.1
Caldwell County,MO,Jan-20,4416,4243,173,3.9
Callaway County,MO,Jan-20,21452,20634,818,3.8
Camden County,MO,Jan-20,17850,16492,1358,7.6
Cape Girardeau County,MO,Jan-20,41213,39747,1466,3.6
Carroll County,MO,Jan-20,4872,4684,188,3.9
Carter County,MO,Jan-20,2569,2411,158,6.2
Cass County,MO,Jan-20,55160,52948,2212,4
Cedar County,MO,Jan-20,5875,5615,260,4.4
Chariton County,MO,Jan-20,3802,3644,158,4.2
Christian County,MO,Jan-20,45496,43784,1712,3.8
Clark County,MO,Jan-20,3264,3103,161,4.9
Clay County,MO,Jan-20,136418,131679,4739,3.5
Clinton County,MO,Jan-20,10783,10366,417,3.9
Cole County,MO,Jan-20,39126,37783,1343,3.4
Cooper County,MO,Jan-20,7490,7173,317,4.2
Crawford County,MO,Jan-20,11035,10501,534,4.8
Dade County,MO,Jan-20,3595,3447,148,4.1
Dallas County,MO,Jan-20,7170,6787,383,5.3
Daviess County,MO,Jan-20,4175,4002,173,4.1
DeKalb County,MO,Jan-20,4881,4671,210,4.3
Dent County,MO,Jan-20,6377,6067,310,4.9
Douglas County,MO,Jan-20,5475,4859,616,11.3
Dunklin County,MO,Jan-20,11736,10959,777,6.6
Franklin County,MO,Jan-20,53547,51246,2301,4.3
Gasconade County,MO,Jan-20,7699,7393,306,4
Gentry County,MO,Jan-20,3548,3433,115,3.2
Greene County,MO,Jan-20,152665,147141,5524,3.6
Grundy County,MO,Jan-20,4448,4258,190,4.3
Harrison County,MO,Jan-20,3892,3700,192,4.9
Henry County,MO,Jan-20,9791,9306,485,5
Hickory County,MO,Jan-20,3827,3610,217,5.7
Holt County,MO,Jan-20,2601,2505,96,3.7
Howard County,MO,Jan-20,4908,4709,199,4.1
Howell County,MO,Jan-20,16978,16021,957,5.6
Iron County,MO,Jan-20,3565,3348,217,6.1
Jackson County,MO,Jan-20,363222,347539,15683,4.3
Jasper County,MO,Jan-20,58193,56049,2144,3.7
Jefferson County,MO,Jan-20,118858,113892,4966,4.2
Johnson County,MO,Jan-20,23487,22385,1102,4.7
Knox County,MO,Jan-20,1803,1734,69,3.8
Laclede County,MO,Jan-20,17442,16174,1268,7.3
Lafayette County,MO,Jan-20,16961,16256,705,4.2
Lawrence County,MO,Jan-20,18343,17445,898,4.9
Lewis County,MO,Jan-20,5011,4808,203,4.1
Lincoln County,MO,Jan-20,28983,27361,1622,5.6
Linn County,MO,Jan-20,5188,4877,311,6
Livingston County,MO,Jan-20,7431,7161,270,3.6
McDonald County,MO,Jan-20,10931,10500,431,3.9
Macon County,MO,Jan-20,7688,7352,336,4.4
Madison County,MO,Jan-20,5543,5288,255,4.6
Maries County,MO,Jan-20,3942,3774,168,4.3
Marion County,MO,Jan-20,14539,13982,557,3.8
Mercer County,MO,Jan-20,1944,1858,86,4.4
Miller County,MO,Jan-20,12318,11595,723,5.9
Mississippi County,MO,Jan-20,5867,5587,280,4.8
Moniteau County,MO,Jan-20,7375,7083,292,4
Monroe County,MO,Jan-20,3898,3693,205,5.3
Montgomery County,MO,Jan-20,5842,5575,267,4.6
Morgan County,MO,Jan-20,8196,7670,526,6.4
New Madrid County,MO,Jan-20,8440,8005,435,5.2
Newton County,MO,Jan-20,27860,26753,1107,4
Nodaway County,MO,Jan-20,10999,10586,413,3.8
Oregon County,MO,Jan-20,4129,3895,234,5.7
Osage County,MO,Jan-20,7155,6932,223,3.1
Ozark County,MO,Jan-20,3439,3136,303,8.8
Pemiscot County,MO,Jan-20,6455,6059,396,6.1
Perry County,MO,Jan-20,10077,9746,331,3.3
Pettis County,MO,Jan-20,21245,20356,889,4.2
Phelps County,MO,Jan-20,19922,19033,889,4.5
Pike County,MO,Jan-20,7428,7068,360,4.8
Platte County,MO,Jan-20,58694,56795,1899,3.2
Polk County,MO,Jan-20,14782,14191,591,4
Pulaski County,MO,Jan-20,14787,14056,731,4.9
Putnam County,MO,Jan-20,2306,2195,111,4.8
Ralls County,MO,Jan-20,5677,5451,226,4
Randolph County,MO,Jan-20,10442,9939,503,4.8
Ray County,MO,Jan-20,11050,10572,478,4.3
Reynolds County,MO,Jan-20,3031,2883,148,4.9
Ripley County,MO,Jan-20,5046,4768,278,5.5
St. Charles County,MO,Jan-20,228350,219683,8667,3.8
St. Clair County,MO,Jan-20,3831,3611,220,5.7
Ste. Genevieve County,MO,Jan-20,9200,8850,350,3.8
St. Francois County,MO,Jan-20,26833,25429,1404,5.2
St. Louis County,MO,Jan-20,534164,513607,20557,3.8
Saline County,MO,Jan-20,10731,10270,461,4.3
Schuyler County,MO,Jan-20,1965,1860,105,5.3
Scotland County,MO,Jan-20,2451,2357,94,3.8
Scott County,MO,Jan-20,20122,19258,864,4.3
Shannon County,MO,Jan-20,3251,3032,219,6.7
Shelby County,MO,Jan-20,3173,3029,144,4.5
Stoddard County,MO,Jan-20,13263,12482,781,5.9
Stone County,MO,Jan-20,13335,11923,1412,10.6
Sullivan County,MO,Jan-20,2754,2616,138,5
Taney County,MO,Jan-20,26278,23059,3219,12.2
Texas County,MO,Jan-20,9218,8713,505,5.5
Vernon County,MO,Jan-20,9610,9215,395,4.1
Warren County,MO,Jan-20,18251,17366,885,4.8
Washington County,MO,Jan-20,10348,9715,633,6.1
Wayne County,MO,Jan-20,5296,5016,280,5.3
Webster County,MO,Jan-20,17530,16744,786,4.5
Worth County,MO,Jan-20,1188,1151,37,3.1
Wright County,MO,Jan-20,7800,7205,595,7.6
St. Louis city,MO,Jan-20,153083,146125,6958,4.5
Allen County,KS,Feb-20,6421,6193,228,3.6
Anderson County,KS,Feb-20,4202,4059,143,3.4
Atchison County,KS,Feb-20,7029,6641,388,5.5
Barber County,KS,Feb-20,2297,2236,61,2.7
Barton County,KS,Feb-20,13293,12794,499,3.8
Bourbon County,KS,Feb-20,6594,6277,317,4.8
Brown County,KS,Feb-20,5363,5203,160,3
Butler County,KS,Feb-20,33025,31904,1121,3.4
Chase County,KS,Feb-20,1552,1509,43,2.8
Chautauqua County,KS,Feb-20,1424,1376,48,3.4
Cherokee County,KS,Feb-20,10162,9840,322,3.2
Cheyenne County,KS,Feb-20,1317,1285,32,2.4
Clark County,KS,Feb-20,1080,1055,25,2.3
Clay County,KS,Feb-20,3769,3653,116,3.1
Cloud County,KS,Feb-20,3749,3642,107,2.9
Coffey County,KS,Feb-20,4182,3991,191,4.6
Comanche County,KS,Feb-20,839,816,23,2.7
Cowley County,KS,Feb-20,16329,15752,577,3.5
Crawford County,KS,Feb-20,18625,17875,750,4
Decatur County,KS,Feb-20,1178,1141,37,3.1
Dickinson County,KS,Feb-20,8764,8409,355,4.1
Doniphan County,KS,Feb-20,4129,3970,159,3.9
Douglas County,KS,Feb-20,67075,65076,1999,3
Edwards County,KS,Feb-20,1382,1352,30,2.2
Elk County,KS,Feb-20,1149,1113,36,3.1
Ellis County,KS,Feb-20,17044,16682,362,2.1
Ellsworth County,KS,Feb-20,2690,2621,69,2.6
Finney County,KS,Feb-20,20876,20441,435,2.1
Ford County,KS,Feb-20,16968,16556,412,2.4
Franklin County,KS,Feb-20,14299,13784,515,3.6
Geary County,KS,Feb-20,11403,10888,515,4.5
Gove County,KS,Feb-20,1474,1447,27,1.8
Graham County,KS,Feb-20,1085,1056,29,2.7
Grant County,KS,Feb-20,3138,3058,80,2.5
Gray County,KS,Feb-20,3173,3102,71,2.2
Greeley County,KS,Feb-20,778,764,14,1.8
Greenwood County,KS,Feb-20,3312,3187,125,3.8
Hamilton County,KS,Feb-20,1621,1592,29,1.8
Harper County,KS,Feb-20,2988,2913,75,2.5
Harvey County,KS,Feb-20,17272,16732,540,3.1
Haskell County,KS,Feb-20,2170,2124,46,2.1
Hodgeman County,KS,Feb-20,978,949,29,3
Jackson County,KS,Feb-20,7208,6969,239,3.3
Jefferson County,KS,Feb-20,10168,9801,367,3.6
Jewell County,KS,Feb-20,1244,1212,32,2.6
Johnson County,KS,Feb-20,342010,332840,9170,2.7
Kearny County,KS,Feb-20,2021,1985,36,1.8
Kingman County,KS,Feb-20,3462,3353,109,3.1
Kiowa County,KS,Feb-20,1267,1238,29,2.3
Labette County,KS,Feb-20,9943,9530,413,4.2
Lane County,KS,Feb-20,746,725,21,2.8
Leavenworth County,KS,Feb-20,36966,35575,1391,3.8
Lincoln County,KS,Feb-20,1698,1659,39,2.3
Linn County,KS,Feb-20,4525,4208,317,7
Logan County,KS,Feb-20,1616,1580,36,2.2
Lyon County,KS,Feb-20,16829,16243,586,3.5
McPherson County,KS,Feb-20,17212,16804,408,2.4
Marion County,KS,Feb-20,5920,5765,155,2.6
Marshall County,KS,Feb-20,5448,5291,157,2.9
Meade County,KS,Feb-20,2067,2021,46,2.2
Miami County,KS,Feb-20,17737,17065,672,3.8
Mitchell County,KS,Feb-20,3259,3184,75,2.3
Montgomery County,KS,Feb-20,14510,13842,668,4.6
Morris County,KS,Feb-20,3034,2936,98,3.2
Morton County,KS,Feb-20,1109,1080,29,2.6
Nemaha County,KS,Feb-20,5246,5109,137,2.6
Neosho County,KS,Feb-20,6200,5927,273,4.4
Ness County,KS,Feb-20,1312,1278,34,2.6
Norton County,KS,Feb-20,2655,2600,55,2.1
Osage County,KS,Feb-20,8015,7700,315,3.9
Osborne County,KS,Feb-20,2078,2021,57,2.7
Ottawa County,KS,Feb-20,2978,2898,80,2.7
Pawnee County,KS,Feb-20,2835,2742,93,3.3
Phillips County,KS,Feb-20,2611,2549,62,2.4
Pottawatomie County,KS,Feb-20,12704,12321,383,3
Pratt County,KS,Feb-20,4881,4765,116,2.4
Rawlins County,KS,Feb-20,1463,1434,29,2
Reno County,KS,Feb-20,29655,28686,969,3.3
Republic County,KS,Feb-20,2183,2128,55,2.5
Rice County,KS,Feb-20,5195,5065,130,2.5
Riley County,KS,Feb-20,35799,34851,948,2.6
Rooks County,KS,Feb-20,2461,2384,77,3.1
Rush County,KS,Feb-20,1614,1571,43,2.7
Russell County,KS,Feb-20,3221,3123,98,3
Saline County,KS,Feb-20,30271,29257,1014,3.3
Scott County,KS,Feb-20,2809,2756,53,1.9
Sedgwick County,KS,Feb-20,256380,246239,10141,4
Seward County,KS,Feb-20,9259,8976,283,3.1
Shawnee County,KS,Feb-20,90878,87620,3258,3.6
Sheridan County,KS,Feb-20,1390,1358,32,2.3
Sherman County,KS,Feb-20,2760,2680,80,2.9
Smith County,KS,Feb-20,1961,1906,55,2.8
Stafford County,KS,Feb-20,2035,1974,61,3
Stanton County,KS,Feb-20,967,940,27,2.8
Stevens County,KS,Feb-20,2478,2401,77,3.1
Sumner County,KS,Feb-20,11068,10671,397,3.6
Thomas County,KS,Feb-20,4267,4180,87,2
Trego County,KS,Feb-20,1419,1374,45,3.2
Wabaunsee County,KS,Feb-20,3665,3522,143,3.9
Wallace County,KS,Feb-20,782,762,20,2.6
Washington County,KS,Feb-20,2893,2813,80,2.8
Wichita County,KS,Feb-20,1183,1162,21,1.8
Wilson County,KS,Feb-20,3991,3811,180,4.5
Woodson County,KS,Feb-20,1575,1516,59,3.7
Wyandotte County,KS,Feb-20,78140,74664,3476,4.4
Adair County,MO,Feb-20,10246,9866,380,3.7
Andrew County,MO,Feb-20,9778,9452,326,3.3
Atchison County,MO,Feb-20,2716,2628,88,3.2
Audrain County,MO,Feb-20,10737,10308,429,4
Barry County,MO,Feb-20,15829,15150,679,4.3
Barton County,MO,Feb-20,5273,5100,173,3.3
Bates County,MO,Feb-20,8009,7655,354,4.4
Benton County,MO,Feb-20,7290,6827,463,6.4
Bollinger County,MO,Feb-20,5580,5342,238,4.3
Boone County,MO,Feb-20,99179,96662,2517,2.5
Buchanan County,MO,Feb-20,44526,42935,1591,3.6
Butler County,MO,Feb-20,18123,17296,827,4.6
Caldwell County,MO,Feb-20,4442,4271,171,3.8
Callaway County,MO,Feb-20,21433,20691,742,3.5
Camden County,MO,Feb-20,17790,16561,1229,6.9
Cape Girardeau County,MO,Feb-20,41330,39999,1331,3.2
Carroll County,MO,Feb-20,4897,4724,173,3.5
Carter County,MO,Feb-20,2554,2388,166,6.5
Cass County,MO,Feb-20,55265,53354,1911,3.5
Cedar County,MO,Feb-20,5823,5599,224,3.8
Chariton County,MO,Feb-20,3805,3658,147,3.9
Christian County,MO,Feb-20,45477,44015,1462,3.2
Clark County,MO,Feb-20,3256,3104,152,4.7
Clay County,MO,Feb-20,136876,132799,4077,3
Clinton County,MO,Feb-20,10815,10454,361,3.3
Cole County,MO,Feb-20,39002,37870,1132,2.9
Cooper County,MO,Feb-20,7541,7238,303,4
Crawford County,MO,Feb-20,11056,10539,517,4.7
Dade County,MO,Feb-20,3611,3477,134,3.7
Dallas County,MO,Feb-20,7155,6830,325,4.5
Daviess County,MO,Feb-20,4169,4014,155,3.7
DeKalb County,MO,Feb-20,4877,4680,197,4
Dent County,MO,Feb-20,6298,6045,253,4
Douglas County,MO,Feb-20,5122,4872,250,4.9
Dunklin County,MO,Feb-20,11764,10971,793,6.7
Franklin County,MO,Feb-20,53448,51376,2072,3.9
Gasconade County,MO,Feb-20,7705,7429,276,3.6
Gentry County,MO,Feb-20,3535,3435,100,2.8
Greene County,MO,Feb-20,152787,148135,4652,3
Grundy County,MO,Feb-20,4453,4300,153,3.4
Harrison County,MO,Feb-20,3889,3693,196,5
Henry County,MO,Feb-20,9790,9363,427,4.4
Hickory County,MO,Feb-20,3829,3633,196,5.1
Holt County,MO,Feb-20,2589,2509,80,3.1
Howard County,MO,Feb-20,4911,4743,168,3.4
Howell County,MO,Feb-20,16677,16006,671,4
Iron County,MO,Feb-20,3568,3362,206,5.8
Jackson County,MO,Feb-20,364637,350283,14354,3.9
Jasper County,MO,Feb-20,57797,55993,1804,3.1
Jefferson County,MO,Feb-20,118591,114107,4484,3.8
Johnson County,MO,Feb-20,23560,22539,1021,4.3
Knox County,MO,Feb-20,1808,1720,88,4.9
Laclede County,MO,Feb-20,17273,16243,1030,6
Lafayette County,MO,Feb-20,17049,16401,648,3.8
Lawrence County,MO,Feb-20,18219,17460,759,4.2
Lewis County,MO,Feb-20,5011,4828,183,3.7
Lincoln County,MO,Feb-20,28539,27439,1100,3.9
Linn County,MO,Feb-20,5157,4880,277,5.4
Livingston County,MO,Feb-20,7443,7211,232,3.1
McDonald County,MO,Feb-20,10925,10566,359,3.3
Macon County,MO,Feb-20,7645,7333,312,4.1
Madison County,MO,Feb-20,5535,5285,250,4.5
Maries County,MO,Feb-20,3934,3787,147,3.7
Marion County,MO,Feb-20,14415,13921,494,3.4
Mercer County,MO,Feb-20,1942,1862,80,4.1
Miller County,MO,Feb-20,12300,11615,685,5.6
Mississippi County,MO,Feb-20,5855,5597,258,4.4
Moniteau County,MO,Feb-20,7375,7112,263,3.6
Monroe County,MO,Feb-20,3894,3703,191,4.9
Montgomery County,MO,Feb-20,5803,5584,219,3.8
Morgan County,MO,Feb-20,8170,7689,481,5.9
New Madrid County,MO,Feb-20,8457,8046,411,4.9
Newton County,MO,Feb-20,27666,26734,932,3.4
Nodaway County,MO,Feb-20,11100,10738,362,3.3
Oregon County,MO,Feb-20,4098,3904,194,4.7
Osage County,MO,Feb-20,7125,6946,179,2.5
Ozark County,MO,Feb-20,3363,3162,201,6
Pemiscot County,MO,Feb-20,6451,6072,379,5.9
Perry County,MO,Feb-20,10011,9704,307,3.1
Pettis County,MO,Feb-20,21799,20469,1330,6.1
Phelps County,MO,Feb-20,19945,19181,764,3.8
Pike County,MO,Feb-20,7481,7181,300,4
Platte County,MO,Feb-20,58888,57286,1602,2.7
Polk County,MO,Feb-20,14727,14231,496,3.4
Pulaski County,MO,Feb-20,14809,14210,599,4
Putnam County,MO,Feb-20,2306,2215,91,3.9
Ralls County,MO,Feb-20,5639,5429,210,3.7
Randolph County,MO,Feb-20,10623,10173,450,4.2
Ray County,MO,Feb-20,11073,10657,416,3.8
Reynolds County,MO,Feb-20,3010,2881,129,4.3
Ripley County,MO,Feb-20,5017,4769,248,4.9
St. Charles County,MO,Feb-20,226899,220432,6467,2.9
St. Clair County,MO,Feb-20,3776,3593,183,4.8
Ste. Genevieve County,MO,Feb-20,9219,8852,367,4
St. Francois County,MO,Feb-20,26766,25428,1338,5
St. Louis County,MO,Feb-20,532080,514851,17229,3.2
Saline County,MO,Feb-20,10729,10287,442,4.1
Schuyler County,MO,Feb-20,1969,1871,98,5
Scotland County,MO,Feb-20,2420,2347,73,3
Scott County,MO,Feb-20,20131,19317,814,4
Shannon County,MO,Feb-20,3208,3006,202,6.3
Shelby County,MO,Feb-20,3179,3035,144,4.5
Stoddard County,MO,Feb-20,13227,12540,687,5.2
Stone County,MO,Feb-20,12976,11561,1415,10.9
Sullivan County,MO,Feb-20,2751,2624,127,4.6
Taney County,MO,Feb-20,25552,22379,3173,12.4
Texas County,MO,Feb-20,9128,8691,437,4.8
Vernon County,MO,Feb-20,9588,9237,351,3.7
Warren County,MO,Feb-20,18071,17410,661,3.7
Washington County,MO,Feb-20,10332,9704,628,6.1
Wayne County,MO,Feb-20,5207,4944,263,5.1
Webster County,MO,Feb-20,17520,16840,680,3.9
Worth County,MO,Feb-20,1182,1153,29,2.5
Wright County,MO,Feb-20,7656,7250,406,5.3
St. Louis city,MO,Feb-20,152631,146529,6102,4
Allen County,KS,Mar-20,6677,6475,202,3
Anderson County,KS,Mar-20,4291,4169,122,2.8
Atchison County,KS,Mar-20,7173,6844,329,4.6
Barber County,KS,Mar-20,2355,2303,52,2.2
Barton County,KS,Mar-20,14164,13757,407,2.9
Bourbon County,KS,Mar-20,6766,6523,243,3.6
Brown County,KS,Mar-20,5487,5341,146,2.7
Butler County,KS,Mar-20,32811,31839,972,3
Chase County,KS,Mar-20,1637,1592,45,2.7
Chautauqua County,KS,Mar-20,1491,1445,46,3.1
Cherokee County,KS,Mar-20,10257,9969,288,2.8
Cheyenne County,KS,Mar-20,1301,1271,30,2.3
Clark County,KS,Mar-20,1080,1056,24,2.2
Clay County,KS,Mar-20,3819,3719,100,2.6
Cloud County,KS,Mar-20,3876,3777,99,2.6
Coffey County,KS,Mar-20,4084,3931,153,3.7
Comanche County,KS,Mar-20,876,855,21,2.4
Cowley County,KS,Mar-20,16732,16212,520,3.1
Crawford County,KS,Mar-20,19446,18813,633,3.3
Decatur County,KS,Mar-20,1235,1202,33,2.7
Dickinson County,KS,Mar-20,9089,8723,366,4
Doniphan County,KS,Mar-20,4088,3958,130,3.2
Douglas County,KS,Mar-20,66172,64399,1773,2.7
Edwards County,KS,Mar-20,1307,1277,30,2.3
Elk County,KS,Mar-20,1189,1157,32,2.7
Ellis County,KS,Mar-20,17395,17080,315,1.8
Ellsworth County,KS,Mar-20,2736,2671,65,2.4
Finney County,KS,Mar-20,21106,20710,396,1.9
Ford County,KS,Mar-20,17416,17050,366,2.1
Franklin County,KS,Mar-20,14497,14068,429,3
Geary County,KS,Mar-20,11649,11151,498,4.3
Gove County,KS,Mar-20,1515,1485,30,2
Graham County,KS,Mar-20,1117,1090,27,2.4
Grant County,KS,Mar-20,3138,3063,75,2.4
Gray County,KS,Mar-20,3281,3217,64,2
Greeley County,KS,Mar-20,822,809,13,1.6
Greenwood County,KS,Mar-20,3304,3197,107,3.2
Hamilton County,KS,Mar-20,1608,1581,27,1.7
Harper County,KS,Mar-20,3006,2933,73,2.4
Harvey County,KS,Mar-20,17158,16694,464,2.7
Haskell County,KS,Mar-20,2235,2195,40,1.8
Hodgeman County,KS,Mar-20,1012,987,25,2.5
Jackson County,KS,Mar-20,7207,6994,213,3
Jefferson County,KS,Mar-20,10127,9831,296,2.9
Jewell County,KS,Mar-20,1272,1242,30,2.4
Johnson County,KS,Mar-20,338736,330309,8427,2.5
Kearny County,KS,Mar-20,2056,2023,33,1.6
Kingman County,KS,Mar-20,3434,3342,92,2.7
Kiowa County,KS,Mar-20,1273,1246,27,2.1
Labette County,KS,Mar-20,10221,9843,378,3.7
Lane County,KS,Mar-20,753,732,21,2.8
Leavenworth County,KS,Mar-20,36538,35310,1228,3.4
Lincoln County,KS,Mar-20,1722,1687,35,2
Linn County,KS,Mar-20,4441,4175,266,6
Logan County,KS,Mar-20,1694,1667,27,1.6
Lyon County,KS,Mar-20,17521,17023,498,2.8
McPherson County,KS,Mar-20,17611,17252,359,2
Marion County,KS,Mar-20,6135,5982,153,2.5
Marshall County,KS,Mar-20,5562,5433,129,2.3
Meade County,KS,Mar-20,2163,2120,43,2
Miami County,KS,Mar-20,17499,16936,563,3.2
Mitchell County,KS,Mar-20,3409,3344,65,1.9
Montgomery County,KS,Mar-20,14912,14319,593,4
Morris County,KS,Mar-20,3047,2960,87,2.9
Morton County,KS,Mar-20,1123,1096,27,2.4
Nemaha County,KS,Mar-20,5294,5167,127,2.4
Neosho County,KS,Mar-20,6190,5947,243,3.9
Ness County,KS,Mar-20,1351,1316,35,2.6
Norton County,KS,Mar-20,2684,2632,52,1.9
Osage County,KS,Mar-20,7981,7719,262,3.3
Osborne County,KS,Mar-20,2032,1986,46,2.3
Ottawa County,KS,Mar-20,3086,3010,76,2.5
Pawnee County,KS,Mar-20,2826,2737,89,3.1
Phillips County,KS,Mar-20,2675,2615,60,2.2
Pottawatomie County,KS,Mar-20,12452,12132,320,2.6
Pratt County,KS,Mar-20,5046,4933,113,2.2
Rawlins County,KS,Mar-20,1517,1488,29,1.9
Reno County,KS,Mar-20,30738,29890,848,2.8
Republic County,KS,Mar-20,2268,2216,52,2.3
Rice County,KS,Mar-20,5449,5322,127,2.3
Riley County,KS,Mar-20,35146,34317,829,2.4
Rooks County,KS,Mar-20,2528,2458,70,2.8
Rush County,KS,Mar-20,1633,1582,51,3.1
Russell County,KS,Mar-20,3294,3213,81,2.5
Saline County,KS,Mar-20,31028,30126,902,2.9
Scott County,KS,Mar-20,2829,2783,46,1.6
Sedgwick County,KS,Mar-20,254263,245749,8514,3.3
Seward County,KS,Mar-20,9579,9334,245,2.6
Shawnee County,KS,Mar-20,90711,87960,2751,3
Sheridan County,KS,Mar-20,1428,1404,24,1.7
Sherman County,KS,Mar-20,2851,2779,72,2.5
Smith County,KS,Mar-20,2031,1982,49,2.4
Stafford County,KS,Mar-20,2027,1970,57,2.8
Stanton County,KS,Mar-20,983,959,24,2.4
Stevens County,KS,Mar-20,2806,2741,65,2.3
Sumner County,KS,Mar-20,11007,10649,358,3.3
Thomas County,KS,Mar-20,4320,4234,86,2
Trego County,KS,Mar-20,1388,1343,45,3.2
