County,State,Date,Total Labor,Employed,Unemployed,Rate
Lafayette County,MO,Jul-19,17051,16412,639,3.7
Lawrence County,MO,Jul-19,17778,17024,754,4.2
Lewis County,MO,Jul-19,4864,4689,175,3.6
Lincoln County,MO,Jul-19,28901,27882,1019,3.5
Linn County,MO,Jul-19,4956,4651,305,6.2
Livingston County,MO,Jul-19,7354,7168,186,2.5
McDonald County,MO,Jul-19,10827,10344,483,4.5
Macon County,MO,Jul-19,7466,7197,269,3.6
Madison County,MO,Jul-19,5433,5201,232,4.3
Maries County,MO,Jul-19,3757,3582,175,4.7
Marion County,MO,Jul-19,14520,14024,496,3.4
Mercer County,MO,Jul-19,1671,1617,54,3.2
Miller County,MO,Jul-19,12153,11711,442,3.6
Mississippi County,MO,Jul-19,5608,5274,334,6
Moniteau County,MO,Jul-19,7407,7134,273,3.7
Monroe County,MO,Jul-19,3715,3537,178,4.8
Montgomery County,MO,Jul-19,5658,5450,208,3.7
Morgan County,MO,Jul-19,8272,7930,342,4.1
New Madrid County,MO,Jul-19,8066,7635,431,5.3
Newton County,MO,Jul-19,27700,26512,1188,4.3
Nodaway County,MO,Jul-19,10498,10043,455,4.3
Oregon County,MO,Jul-19,3710,3537,173,4.7
Osage County,MO,Jul-19,7203,7002,201,2.8
Ozark County,MO,Jul-19,3184,2996,188,5.9
Pemiscot County,MO,Jul-19,6183,5780,403,6.5
Perry County,MO,Jul-19,9981,9693,288,2.9
Pettis County,MO,Jul-19,20651,19728,923,4.5
Phelps County,MO,Jul-19,19570,18831,739,3.8
Pike County,MO,Jul-19,7293,6996,297,4.1
Platte County,MO,Jul-19,60086,57897,2189,3.6
Polk County,MO,Jul-19,14708,14175,533,3.6
Pulaski County,MO,Jul-19,14535,13939,596,4.1
Putnam County,MO,Jul-19,2227,2142,85,3.8
Ralls County,MO,Jul-19,5612,5437,175,3.1
Randolph County,MO,Jul-19,10304,9823,481,4.7
Ray County,MO,Jul-19,11320,10733,587,5.2
Reynolds County,MO,Jul-19,3051,2934,117,3.8
Ripley County,MO,Jul-19,4929,4604,325,6.6
St. Charles County,MO,Jul-19,231144,224831,6313,2.7
St. Clair County,MO,Jul-19,3654,3450,204,5.6
Ste. Genevieve County,MO,Jul-19,9204,8922,282,3.1
St. Francois County,MO,Jul-19,26605,25509,1096,4.1
St. Louis County,MO,Jul-19,544124,525536,18588,3.4
Saline County,MO,Jul-19,10298,9882,416,4
Schuyler County,MO,Jul-19,1895,1785,110,5.8
Scotland County,MO,Jul-19,2346,2274,72,3.1
Scott County,MO,Jul-19,19700,18798,902,4.6
Shannon County,MO,Jul-19,3224,3038,186,5.8
Shelby County,MO,Jul-19,2902,2817,85,2.9
Stoddard County,MO,Jul-19,12909,12215,694,5.4
Stone County,MO,Jul-19,14945,14380,565,3.8
Sullivan County,MO,Jul-19,2603,2506,97,3.7
Taney County,MO,Jul-19,29220,28175,1045,3.6
Texas County,MO,Jul-19,8405,7982,423,5
Vernon County,MO,Jul-19,9110,8727,383,4.2
Warren County,MO,Jul-19,18247,17697,550,3
Washington County,MO,Jul-19,10041,9551,490,4.9
Wayne County,MO,Jul-19,5168,4888,280,5.4
Webster County,MO,Jul-19,17464,16783,681,3.9
Worth County,MO,Jul-19,1102,1056,46,4.2
Wright County,MO,Jul-19,6954,6594,360,5.2
St. Louis city,MO,Jul-19,156762,149613,7149,4.6
Allen County,KS,Aug-19,6139,5891,248,4
Anderson County,KS,Aug-19,4217,4075,142,3.4
Atchison County,KS,Aug-19,7006,6601,405,5.8
Barber County,KS,Aug-19,2330,2262,68,2.9
Barton County,KS,Aug-19,13507,13058,449,3.3
Bourbon County,KS,Aug-19,6523,6238,285,4.4
Brown County,KS,Aug-19,5358,5181,177,3.3
Butler County,KS,Aug-19,32530,31391,1139,3.5
Chase County,KS,Aug-19,1522,1478,44,2.9
Chautauqua County,KS,Aug-19,1413,1350,63,4.5
Cherokee County,KS,Aug-19,10082,9722,360,3.6
Cheyenne County,KS,Aug-19,1310,1275,35,2.7
Clark County,KS,Aug-19,1090,1062,28,2.6
Clay County,KS,Aug-19,3755,3627,128,3.4
Cloud County,KS,Aug-19,3768,3632,136,3.6
